	1	2	3	4	5	6	7	8	9	10	11	12
A	1_1	1_2	1_3	2_1	2_2	2_3	3_1	3_2	NTC			
B	1_1	1_2	1_3	2_1	2_2	2_3	3_1	3_2	NTC			
C	1_1	1_2	1_3	2_1	2_2	2_3	3_1	3_2	NTC			
D	1_1	1_2	1_3	2_1	2_2	2_3	3_1	3_2	NTC			
E	1_1	1_2	1_3	2_1	2_2	2_3	3_1	3_2	NTC			
F	1_1	1_2	1_3	2_1	2_2	2_3	3_1	3_2	NTC			
G	1_1	1_2	1_3	2_1	2_2	2_3	3_1	3_2	4_1			
H	1_1	1_2	1_3	2_1	2_2	2_3	3_1	3_2	NTC			
